"","control_A","control_B","ph5h_A","ph5h_B","LPS_A","LPS_B","ph5hLPS_A","ph5hLPS_B","X1","X2","X3","X4"
"Aars2",4.87991,5.66146,2.61845,3.36582,3.49129,4.59794,2.47759,3.28342,0,0,0,0
"Aarsd1",23.995814,26.513373,27.759857,25.057101,15.473611,14.797679,19.365,18.669666,0,0,0,0
"Aasdh",5.3619978523,4.8596736,6.096526,7.392994,5.5396159,2.682259,2.45091,3.779967,0,0,0,0
"Aasdhppt",9.08944,8.64822,6.635463,6.206784,6.012321,4.907275,5.640944,5.43184,0,0,0,0
"Aass",0,0,0,0,0,0,0,0,0,0,0,0
"Aatf",17.523,16.741273,9.654313,10.034853,11.51778,11.4222,9.885483,8.497765,0,0,0,0
"Aatk",12.674004187628,12.113334,7.351292,8.552378,1.2578636301,1.41387,3.364638,3.364395228,0,0,0,0
"AB124611",101.758981,103.568833,77.32461,82.08314,45.347302,48.001179,68.932834,61.079,0,0,0,0
"Abat",0.0798657,0,0,0,0,0,0.0196213,0.0432424,0,0,0,0
"Abca1",49.6519,44.84824,13.9263,13.4105,46.62098,47.6645,36.8026,37.4228,0,0,0,0
"Abca12",0.08782871,0.071895,0.0451977,0.0786318,0.210116,0.0652347,0.0596673,0.0276771,0,0,0,0
"Abca13",0.0888729,0.0865197,0.0829006,0.116548,0.112524,0.0996582,0.127598,0.0992903,0,0,0,0
"Abca14",0,0,0,0,0,0,0,0,0,0,0,0
"Abca15",0,0,0,0,0,0,0,0,0,0,0,0
"Abca16",0,0.072331,0,0,0,0,0,0,0,0,0,0
"Abca17",0.075902,0.106553,0.018659,0.0349612,0,0.0180503,0.0170759,0.0300069,0,0,0,0
"Abca2",13.272582,11.30656,14.429129,12.6106345428,4.39328,7.493987,8.46297,10.533425,0,0,0,0
"Abca3",36.443867,34.279647,29.930433,28.5602094,20.025917,21.1671213,22.733189,23.6642234,0,0,0,0
"Abca4",2.29296,2.14985,2.76181,2.83844,4.25628,1.54061,1.39255,2.75942,0,0,0,0
"Abca5",1.55048,1.1883772,0.8413065,0.889273,0.922447,1.0379015,2.906696,3.569548,0,0,0,0
"Abca6",0.5944949,0.7553555,0,0.131912,0.1332358,0.0694041,0.0656093,0.11172,0,0,0,0
"Abca7",17.35602615,17.14561,13.63048,13.590550377194,16.7785500114109,17.5125,11.6361500081712,13.921951265,0,0,0,0
"Abca8a",0.01433735,0.222103,0,0,0.01633378,0,0,0,0,0,0,0
"Abca8b",1.140512,0.85826,0.721805,0.915459,0.462849,0.288720000503706,0.3770651,0.489585,0,0,0,0
"Abca9",2.27498,1.2015617,0.633204,0.381593,0.644392,0.596816,0.451768,0.264665,0,0,0,0
"Abcb10",10.1666,9.9024,1.4934,1.90937,5.90872,6.11166,1.33434,1.6422,0,0,0,0
"Abcb11",0,0,0,0.018584500454467,0,0,0,0.03162490206868,0,0,0,0
"Abcb1a",2.74182233,2.20341,1.593868,0.98837875,1.03777,0.940116,0.849693,0.410094,0,0,0,0
"Abcb1b",51.989977,54.998311,25.4693389,25.7904252,37.889602,32.542075,22.611588,21.2232189,0,0,0,0
"Abcb4",13.6032141,11.596937,12.3391696,12.093409,6.6314497,6.9834574,10.195433,13.092922,0,0,0,0
"Abcb5",0,0,0,0,0,0,0,0,0,0,0,0
"Abcb6",15.992692,17.66199,18.029532,17.5691,11.1301032,14.7219599,17.807793,17.518876,0,0,0,0
"Abcb7",21.969287,22.0039,13.491729,14.7919,11.2757,10.9348,12.9904,13.697198,0,0,0,0
"Abcb8",41.14648883644,40.33988,29.382782,27.191926,21.871836,22.0108,19.021917,20.791588,0,0,0,0
"Abcb9",1.704593,1.052035,0.6891777,0.9719291,0.820204,0.841552,0.3846634,0.4901228,0,0,0,0
"Abcc1",38.84754768,40.06368661,46.953317,52.9824630104871,83.66722248,98.28668,79.36737678,90.997025124009,0,0,0,0
"Abcc10",4.222293,2.741227,1.6776080221493,1.979654,1.0554891,1.87237411,1.41329,1.8674635,0,0,0,0
"Abcc12",0,0,0,0,0,0,0,0,0,0,0,0
"Abcc2",0.5081277,0.313766,0.3184322,0.3989196,0.0906522,0.262243,0.580078,0.1642844,0,0,0,0
"Abcc3",51.61079,51.07145,40.87532,35.799466,20.07259,21.893486,29.96201,29.549819,0,0,0,0
"Abcc4",9.16274,10.36954,3.9262601,2.74883,7.2511019,8.7034351516,2.8081,3.0111800975077,0,0,0,0
